stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id,WGS84,Israel1993,yx,y,x,betweeness,log-betweeness,central
170,39077,עוזי חיטמן/דליה רביקוביץ,רחוב: עוזי חיטמן 24 עיר: רמלה רציף:  קומה:,31.918782,34.870995,0,,39077,POINT (34.870995 31.918782),POINT (187913.29068425292 647353.6386545851),[647353.6386545851 187913.29068425292],647353.6386545851,187913.29068425292,3.830522241833889E-6,-12.472509408497089,false
171,39078,עוזי חיטמן/חנוך לוין,רחוב: עוזי חיטמן 10 עיר: רמלה רציף:  קומה:,31.918696,34.873447,0,,39078,POINT (34.873447 31.918696),POINT (188145.16679465765 647343.391236838),[647343.391236838 188145.16679465765],647343.391236838,188145.16679465765,1.518293852597652E-4,-8.792753132950368,false
172,39079,אהוד מנור/חיטמן,רחוב: אהוד מנור עיר: רמלה רציף:  קומה:,31.916945,34.874461,0,,39079,POINT (34.874461 31.916945),POINT (188240.47761484695 647148.9350344978),[647148.9350344978 188240.47761484695],647148.9350344978,188240.47761484695,7.069466213404015E-4,-7.254555395143727,false
173,39080,שושנה דמארי/אהוד מנור,רחוב: שושנה דמארי 18 עיר: רמלה רציף:  קומה:,31.916141,34.872134,0,,39080,POINT (34.872134 31.916141),POINT (188020.11682444805 647060.4543016952),[647060.4543016952 188020.11682444805],647060.4543016952,188020.11682444805,3.985974767934515E-4,-7.827558480377588,false
174,39081,שושנה דמארי/אהוד מנור,רחוב: שושנה דמארי עיר: רמלה רציף:  קומה:,31.916235,34.873652,0,,39081,POINT (34.873652 31.916235),POINT (188163.7221412425 647070.4383786799),[647070.4383786799 188163.7221412425],647070.4383786799,188163.7221412425,1.5793052989673478E-4,-8.753355305824629,false
175,39082,אהוד מנור/עוזי חיטמן,רחוב: אהוד מנור 9 עיר: רמלה רציף:  קומה:,31.917837,34.874646,0,,39082,POINT (34.874646 31.917837),POINT (188258.27596416365 647247.7932261117),[647247.7932261117 188258.27596416365],647247.7932261117,188258.27596416365,3.415113255135745E-4,-7.982129715481164,false
176,39083,בי''ס האמנים/עוזי חיטמן,רחוב: עוזי חיטמן 34 עיר: רמלה רציף:  קומה:,31.917891,34.868634,0,,39083,POINT (34.868634 31.917891),POINT (187689.68578706073 647255.527710902),[647255.527710902 187689.68578706073],647255.527710902,187689.68578706073,4.665553586514316E-5,-9.972718969648328,false
613,39536,מחלף נשרים,רחוב: 44 עיר: גזר רציף:  קומה:,31.901922,34.888167,0,,39536,POINT (34.888167 31.901922),POINT (189531.9271265582 645479.2122993745),[645479.2122993745 189531.9271265582],645479.2122993745,189531.9271265582,2.3021517797385677E-4,-8.37649612999314,false
633,39558,כלנית/יסמין,רחוב: הכלנית 24 עיר: בית דגן רציף:  קומה:,31.996307,34.828531,0,,39558,POINT (34.828531 31.996307),POINT (183926.98520009697 655963.3966129385),[655963.3966129385 183926.98520009697],655963.3966129385,183926.98520009697,1.0206884723977786E-5,-11.492448092426832,false
641,39568,רזיאל/א.ס. לוי,רחוב: שדרות דוד רזיאל עיר: רמלה רציף:  קומה:,31.921328,34.861894,0,,39568,POINT (34.861894 31.921328),POINT (187053.42875617693 647638.6432627826),[647638.6432627826 187053.42875617693],647638.6432627826,187053.42875617693,0.0,-Infinity,false
642,39569,אנילביץ/שלמה המלך,רחוב: אנילביץ' 2 עיר: ראשון לציון רציף:  קומה:,31.980533,34.789306,0,,39569,POINT (34.789306 31.980533),POINT (180213.55190952276 654227.7943067958),[654227.7943067958 180213.55190952276],654227.7943067958,180213.55190952276,8.360302226323999E-5,-9.389430887052905,false
643,39570,מרכז רום/אבשלום גיסין,רחוב: אבשלום גיסין 10 עיר: פתח תקווה רציף:  קומה:,32.097971,34.88065,0,,39570,POINT (34.88065 32.097971),POINT (188885.9735317344 667220.9313568063),[667220.9313568063 188885.9735317344],667220.9313568063,188885.9735317344,0.0015592857981509747,-6.463527384251136,true
644,39571,משה סנה/גיסין,רחוב: משה סנה 10 עיר: פתח תקווה רציף:  קומה:,32.098887,34.879087,0,,39571,POINT (34.879087 32.098887),POINT (188738.74205961294 667322.9512045339),[667322.9512045339 188738.74205961294],667322.9512045339,188738.74205961294,7.873308601845665E-4,-7.146861991051178,false
648,39575,מזכרת בתיה/זכרון יעקב,רחוב: מזכרת בתיה 12 עיר: פתח תקווה רציף:  קומה:,32.100858,34.87302,0,,39575,POINT (34.87302 32.100858),POINT (188166.73041911522 667543.2609136562),[667543.2609136562 188166.73041911522],667543.2609136562,188166.73041911522,0.0,-Infinity,false
654,39581,גוש עציון/הציונות,רחוב: גוש עציון 9 עיר: גבעת שמואל רציף:  קומה:,32.07944,34.845776,0,,39581,POINT (34.845776 32.07944),POINT (185587.23491618683 665176.4406288954),[665176.4406288954 185587.23491618683],665176.4406288954,185587.23491618683,0.0,-Infinity,false
