stop_lat0,stop_lat1,stop_lon0,stop_lon1,stop_id0,stop_id1,w,yx-distance
32.103834,32.107031,34.809664,34.833789,13220,13241,1,2304.526424908836
32.106733,32.108001,34.830514,34.835243,13030,13242,1,467.9718479590738
32.107031,32.108001,34.833789,34.835243,13241,13242,1,174.36703616788307
32.115126,32.1097,34.840063,34.837166,13187,13243,1,660.9066868748139
32.107031,32.1097,34.833789,34.837166,13241,13243,1,434.959921189279
32.108001,32.1097,34.835243,34.837166,13242,13243,1,261.6075193986478
32.115126,32.112816,34.840063,34.839688,13187,13244,1,258.5928323380124
32.108001,32.112816,34.835243,34.839688,13242,13244,1,679.0424758957399
32.1097,32.112816,34.837166,34.839688,13243,13244,1,419.588421741278
32.110701,32.108777,34.837899,34.835807,13028,13245,1,290.6999583729666
32.113159,32.108777,34.839616,34.835807,13029,13245,1,604.4536921875325
32.039169,32.046238,34.777451,34.783261,13170,13246,1,956.8828350025311
32.090189,32.093343,34.822531,34.822094,12940,13247,1,352.175721885085
32.098809,32.093343,34.827472,34.822094,13203,13247,1,790.6463369083447
32.091018,32.093343,34.823639,34.822094,13207,13247,1,296.2168141110913
32.095915,32.093343,34.821682,34.822094,13240,13247,1,287.8520803539849
32.086689,32.085985,34.829338,34.831969,13249,13250,1,260.3639400863656
32.092564,32.085538,34.840305,34.837011,12898,13251,1,838.8860960545749
32.080979,32.078723,34.840267,34.84181,13152,13252,1,289.49552534931917
32.044374,32.042069,34.768679,34.77215,13116,13256,1,415.70844823725713
32.038789,32.040173,34.779755,34.775256,12959,13257,1,451.819458095842
32.042069,32.040173,34.77215,34.775256,13256,13257,1,360.9331737174229
32.107454,32.105529,34.814433,34.812227,13219,13258,1,298.1977375992801
32.102578,32.105529,34.805312,34.812227,13221,13258,1,730.1387707389663
32.094109,32.096871,34.775142,34.775888,12849,13259,1,314.2746090580822
32.102578,32.096871,34.805312,34.775888,13221,13259,1,2848.621377380412
32.059607,32.058688,34.820239,34.816308,12815,13263,1,384.9576613482728
32.059083,32.058688,34.809867,34.816308,12830,13263,1,609.8324594006671
32.05996,32.058688,34.816379,34.816308,12836,13263,1,141.21236143830794
32.057419,32.058688,34.832771,34.816308,12884,13263,1,1561.0553899806384
32.065604,32.060687,34.802729,34.805644,12829,13265,1,610.7946254485478
32.05894,32.060687,34.809636,34.805644,12831,13265,1,423.8457516011423
32.062113,32.060687,34.804298,34.805644,12886,13265,1,202.8824743072599
32.05839,32.060687,34.812677,34.805644,12983,13265,1,711.3276099304491
32.051417,32.047976,34.8,34.799321,12978,13267,1,386.9264075600251
32.046839,32.047976,34.800032,34.799321,13162,13267,1,142.8504398721997
32.060522,32.059174,34.781999,34.786171,13019,13268,1,421.38514147771986
32.059204,32.059174,34.791053,34.786171,13079,13268,1,461.0443127100729
32.083188,32.079852,34.821066,34.81974,12938,13270,1,390.5418244564921
32.079231,32.079852,34.822627,34.81974,13231,13270,1,281.13740295964567
32.054767,32.055943,34.791618,34.791749,13225,13272,1,130.99329593356484
32.067809,32.074823,34.83984,34.843553,12963,13274,1,853.1513460406132
32.082661,32.074823,34.845048,34.843553,13215,13274,1,880.5493410997315
32.078723,32.074823,34.84181,34.843553,13252,13274,1,462.7275249014277
32.132998,32.136729,34.796031,34.79759,13184,13279,1,439.11206352479803
32.086689,32.087534,34.829338,34.827965,13249,13285,1,159.94216349455286
32.085985,32.087534,34.831969,34.827965,13250,13285,1,415.20077008815855
32.085985,32.085724,34.831969,34.835008,13250,13286,1,288.36012122348194
32.085538,32.085724,34.837011,34.835008,13251,13286,1,190.21990548329902
32.085538,32.08532,34.837011,34.83971,13251,13287,1,255.9507177103496
32.078723,32.08532,34.84181,34.83971,13252,13287,1,757.9383606538619
32.085724,32.08532,34.835008,34.83971,13286,13287,1,446.1598119366073
32.080979,32.080241,34.840267,34.84129,13152,13288,1,126.59338403016942
32.078723,32.080241,34.84181,34.84129,13252,13288,1,175.34577698279227
32.074823,32.080241,34.843553,34.84129,13274,13288,1,637.6681670967299
32.08532,32.080241,34.83971,34.84129,13287,13288,1,582.6343236292275
32.092564,32.091435,34.840305,34.825758,12898,13290,1,1378.9471241237648
32.084365,32.091435,34.809367,34.825758,12916,13290,1,1734.675962156975
32.091484,32.091435,34.831208,34.825758,13036,13290,1,514.5176092741563
32.090518,32.091435,34.825597,34.825758,13043,13290,1,102.81686077422236
32.089296,32.091435,34.818138,34.825758,13140,13290,1,757.4468742046422
32.087547,32.091435,34.828114,34.825758,13174,13290,1,485.133533991848
32.091018,32.091435,34.823639,34.825758,13207,13290,1,205.31280472840743
32.093343,32.091435,34.822094,34.825758,13247,13290,1,405.46547506693787
32.061845,32.062794,34.777575,34.773273,13042,13292,1,419.65565766066993
32.06059,32.062794,34.775001,34.773273,13075,13292,1,293.8725741731852
32.061549,32.063839,34.77366,34.772919,12904,13293,1,263.4053862169912
32.063416,32.062513,34.780072,34.780174,12952,13295,1,100.59695809112137
32.059454,32.062513,34.786354,34.780174,12975,13295,1,675.0215937775386
32.061845,32.062513,34.777575,34.780174,13042,13295,1,256.3642322092636
32.06059,32.062513,34.775001,34.780174,13075,13295,1,533.0159787379919
32.061639,32.062513,34.780191,34.780174,13167,13295,1,96.93220732414086
32.062794,32.062513,34.773273,34.780174,13292,13295,1,652.4175550003276
32.094109,32.096302,34.775142,34.775963,12849,13306,1,255.2366035047516
32.102578,32.096302,34.805312,34.775963,13221,13306,1,2856.4419259855867
32.096871,32.096302,34.775888,34.775963,13259,13306,1,63.493408928454144
